MM-DD HH:MM (UTC),2021,2022,2023,2024
01-07 18:00,183.98,151.22,57.58,171.59
01-07 19:00,164.61,152.21,65.12,196.99
01-07 20:00,134.92,145.15,86.86,179.45
01-07 21:00,145.51,129.74,93.28,98.26
01-07 22:00,123.78,105.63,92.06,91.25
01-07 23:00,153.88,97.84,85.5,71.63
01-08 00:00,141.36,101.57,65.78,80.41
01-08 01:00,135.88,79.37,67.88,97.65
01-08 02:00,128.04,82.6,72.94,87.51
01-08 03:00,114.84,69.31,72.91,101.79
01-08 04:00,124.96,83.53,52.82,141.63
01-08 05:00,124.32,108.54,48.79,173.45
01-08 06:00,156.12,128.21,39.8,196.58
01-08 07:00,176.99,134.01,45.66,226.36
01-08 08:00,183.53,113.87,51.11,258.84
01-08 09:00,166.5,81.66,49.18,267.7
01-08 10:00,148.98,91.01,49.35,260.67
01-08 11:00,152.7,101.69,48.49,250.95
01-08 12:00,169.68,122.19,47.8,252.94
01-08 13:00,158.77,124.55,48.3,272.23
01-08 14:00,176.89,126.75,56.75,300.8
01-08 15:00,191.27,136.38,60.99,303.29
01-08 16:00,163.57,137.81,59.03,298.93
01-08 17:00,162.07,138.43,60.76,294.3
01-08 18:00,150.24,127.67,56.74,293.82
01-08 19:00,142.49,146.16,59.87,283.89
01-08 20:00,140.15,132.92,60.18,276.64
01-08 21:00,141.21,126.14,59.49,211.22
01-08 22:00,142.38,115.86,58.7,242.7
01-08 23:00,144.1,85.31,56.16,148.81
01-09 00:00,159.58,70.07,63.55,98.8
01-09 01:00,135.23,64.56,102.74,96.47
01-09 02:00,132.07,67.74,135.88,128.83
01-09 03:00,131.6,71.79,146.93,132.5
01-09 04:00,145.88,70.77,93.3,184.66
01-09 05:00,136.36,67.44,59.58,280.89
01-09 06:00,147.27,81.9,64.09,322.37
01-09 07:00,157.9,72.06,71.8,325.21
01-09 08:00,160.62,54.35,82.05,319.64
01-09 09:00,158.08,52.53,70.33,308.8
01-09 10:00,156.64,74.64,74.69,302.21
01-09 11:00,169.13,118.36,75.14,284.14
01-09 12:00,205.55,124.01,74.86,277.62
01-09 13:00,216.99,150.96,75.49,287.37
01-09 14:00,242.15,157.36,80.96,295.37
01-09 15:00,329.57,152.81,74.7,300.6
01-09 16:00,279.17,131.1,81.44,297.21
01-09 17:00,266.76,136.33,89.61,296.82
01-09 18:00,236.28,140.15,90.44,267.73
01-09 19:00,204.23,141.96,94.85,237.4
01-09 20:00,196.91,144.0,98.94,188.01
01-09 21:00,168.38,124.86,101.29,145.21
01-09 22:00,150.61,105.63,77.16,150.85
01-09 23:00,141.18,114.57,73.36,110.5
01-10 00:00,144.48,113.98,85.91,93.44
01-10 01:00,142.61,108.96,78.66,78.52
01-10 02:00,137.62,131.56,76.92,78.36
01-10 03:00,139.68,167.88,84.43,76.45
01-10 04:00,133.56,169.03,77.81,125.87
01-10 05:00,140.09,151.36,69.45,315.79
01-10 06:00,126.72,139.38,96.98,374.04
01-10 07:00,134.07,152.46,101.51,361.1
01-10 08:00,136.86,155.48,93.65,346.88
01-10 09:00,136.21,155.09,82.85,314.91
01-10 10:00,123.01,169.21,94.23,303.54
01-10 11:00,124.87,166.42,76.01,305.39
01-10 12:00,108.7,152.96,68.01,306.06
01-10 13:00,125.27,166.86,68.85,320.48
01-10 14:00,154.51,152.08,64.31,282.8
01-10 15:00,155.6,148.23,65.45,205.35
01-10 16:00,173.4,172.58,71.35,248.56
01-10 17:00,173.7,185.9,67.53,240.3
01-10 18:00,179.07,152.27,69.58,269.09
01-10 19:00,167.23,161.25,66.41,175.15
01-10 20:00,172.3,142.55,69.93,150.6
01-10 21:00,178.04,143.01,79.5,116.47
01-10 22:00,165.67,161.58,102.44,88.49
01-10 23:00,154.55,160.18,84.58,83.53
01-11 00:00,126.89,139.47,63.18,66.19
01-11 01:00,140.52,129.46,60.97,59.44
01-11 02:00,145.58,131.36,65.11,54.44
01-11 03:00,167.48,144.07,70.49,53.79
01-11 04:00,174.46,162.39,75.77,64.09
01-11 05:00,176.3,156.01,67.82,100.05
01-11 06:00,171.57,158.65,62.53,198.24
01-11 07:00,167.22,153.8,58.11,168.55
01-11 08:00,150.52,157.44,53.37,156.0
01-11 09:00,142.92,143.06,58.6,131.69
01-11 10:00,137.9,146.24,58.39,56.47
01-11 11:00,137.81,148.47,57.12,59.87
01-11 12:00,139.45,132.15,52.56,71.26
01-11 13:00,143.56,118.4,51.4,113.35
01-11 14:00,149.65,137.27,53.29,159.84
01-11 15:00,144.48,145.34,56.36,236.42
01-11 16:00,133.22,144.15,61.24,288.0
01-11 17:00,129.97,151.95,62.48,229.83
01-11 18:00,130.06,160.69,59.62,221.63
01-11 19:00,134.53,150.41,58.35,256.0
01-11 20:00,132.06,150.27,58.75,229.52
01-11 21:00,123.55,116.14,56.66,131.24
01-11 22:00,157.08,102.31,57.49,151.08
01-11 23:00,152.16,95.62,54.3,128.58
01-12 00:00,155.12,98.97,54.28,116.9
01-12 01:00,165.88,107.91,50.3,108.54
01-12 02:00,178.22,117.31,71.12,102.44
01-12 03:00,203.75,117.97,70.94,101.89
01-12 04:00,190.8,138.82,54.2,110.8
01-12 05:00,179.64,147.91,53.77,126.58
01-12 06:00,181.42,132.57,55.24,148.22
01-12 07:00,222.99,134.53,53.75,141.37
01-12 08:00,198.23,143.59,62.95,162.78
01-12 09:00,189.83,148.36,70.5,114.48
01-12 10:00,187.02,141.93,82.99,115.67
01-12 11:00,168.49,142.71,92.27,109.03
01-12 12:00,152.22,110.82,83.75,114.22
01-12 13:00,148.95,109.41,71.24,103.75
01-12 14:00,165.67,112.04,87.31,112.28
01-12 15:00,164.91,105.6,67.39,132.25
01-12 16:00,149.5,94.93,60.11,130.51
01-12 17:00,146.67,92.63,60.94,118.35
01-12 18:00,136.99,83.88,64.74,123.96
01-12 19:00,125.91,78.56,69.18,133.86
01-12 20:00,126.6,82.33,61.39,137.28
01-12 21:00,142.24,85.49,55.16,119.88
01-12 22:00,149.4,76.77,59.32,98.87
01-12 23:00,152.79,76.06,76.68,84.99
01-13 00:00,138.87,75.36,82.01,83.34
01-13 01:00,140.62,81.11,82.62,83.29
01-13 02:00,137.56,87.17,77.3,83.22
01-13 03:00,151.68,94.17,81.56,72.15
01-13 04:00,143.68,87.65,84.05,60.03
01-13 05:00,145.82,80.33,89.56,47.09
01-13 06:00,157.86,69.77,74.95,51.91
01-13 07:00,159.8,73.98,76.68,62.33
01-13 08:00,154.56,81.54,72.44,57.16
01-13 09:00,151.84,78.69,70.69,55.56
01-13 10:00,138.89,76.05,81.8,61.1
01-13 11:00,159.95,73.87,99.88,59.24
01-13 12:00,152.21,74.38,99.61,58.15
01-13 13:00,167.15,79.44,98.55,61.03
01-13 14:00,159.25,93.15,89.64,75.04
01-13 15:00,156.68,92.12,90.77,95.97
01-13 16:00,138.55,66.2,72.96,94.75
01-13 17:00,146.65,69.78,71.31,93.7
01-13 18:00,141.23,67.39,74.62,91.19
01-13 19:00,145.14,76.93,82.99,67.24
01-13 20:00,134.99,66.92,90.82,62.65
01-13 21:00,132.11,76.7,92.83,58.89
01-13 22:00,134.82,72.49,90.43,61.28
01-13 23:00,138.54,64.01,83.25,73.0
01-14 00:00,148.02,70.82,77.66,76.1
01-14 01:00,153.1,83.68,75.11,79.92
01-14 02:00,149.26,82.59,74.54,83.11
01-14 03:00,158.68,89.98,76.14,89.33
01-14 04:00,149.1,101.88,80.43,114.98
01-14 05:00,147.82,107.64,88.11,114.28
01-14 06:00,205.02,85.89,95.51,113.92
01-14 07:00,263.84,91.95,107.61,86.77
01-14 08:00,301.1,90.57,105.67,90.05
01-14 09:00,292.74,86.11,105.32,88.79
01-14 10:00,298.57,84.73,101.25,96.26
01-14 11:00,270.08,80.43,101.4,100.9
01-14 12:00,297.37,70.26,101.84,111.3
01-14 13:00,319.83,74.09,101.81,113.64
01-14 14:00,341.1,77.96,100.73,105.44
01-14 15:00,337.12,80.87,99.59,112.08
01-14 16:00,335.27,92.3,98.95,93.22
01-14 17:00,342.83,100.0,97.66,102.84
01-14 18:00,316.32,101.78,98.24,107.73
01-14 19:00,291.01,101.16,98.9,80.45
01-14 20:00,231.78,100.58,98.73,70.01
01-14 21:00,153.32,105.79,97.39,63.46
01-14 22:00,120.43,106.67,93.65,69.09
01-14 23:00,116.92,108.83,73.15,87.32
01-15 00:00,136.66,108.58,75.17,86.78
01-15 01:00,129.9,107.81,67.03,102.82
01-15 02:00,130.54,107.02,54.6,78.87
01-15 03:00,128.46,114.77,57.38,96.14
01-15 04:00,153.72,114.95,57.73,95.04
01-15 05:00,266.71,114.55,56.63,75.46
01-15 06:00,325.27,115.23,57.27,85.15
01-15 07:00,328.98,122.07,60.42,105.14
01-15 08:00,334.91,132.96,60.11,90.62
01-15 09:00,336.23,140.59,55.76,84.47
01-15 10:00,328.54,139.65,53.9,54.73
01-15 11:00,330.06,140.92,53.85,74.59
01-15 12:00,330.31,145.92,54.36,130.95
01-15 13:00,333.2,143.8,58.16,95.9
01-15 14:00,333.88,138.66,71.48,154.58
01-15 15:00,357.68,147.2,90.3,209.32
01-15 16:00,360.19,145.06,100.09,166.33
01-15 17:00,355.02,143.45,104.31,156.05
01-15 18:00,326.62,142.06,100.23,187.11
01-15 19:00,269.7,121.67,95.09,222.51
01-15 20:00,226.02,112.14,85.61,294.68
01-15 21:00,134.07,105.51,75.86,327.02
01-15 22:00,141.96,101.14,78.56,288.61
01-15 23:00,165.03,103.07,75.17,270.09
01-16 00:00,175.44,95.46,69.4,284.69
01-16 01:00,154.79,95.61,68.99,255.38
01-16 02:00,134.25,92.81,75.16,316.54
01-16 03:00,121.73,87.23,73.55,338.29
01-16 04:00,123.77,78.63,73.35,340.53
01-16 05:00,126.86,63.44,70.68,368.46
01-16 06:00,162.89,51.64,70.58,372.88
01-16 07:00,203.39,56.04,74.84,375.91
01-16 08:00,221.52,74.91,75.92,374.36
01-16 09:00,303.96,72.72,78.26,370.36
01-16 10:00,281.97,71.31,77.43,330.52
01-16 11:00,240.16,70.28,74.78,319.12
01-16 12:00,257.94,81.1,73.07,319.52
01-16 13:00,314.58,82.52,71.79,331.19
01-16 14:00,329.48,78.0,77.74,332.77
01-16 15:00,341.72,66.43,72.86,317.73
01-16 16:00,340.53,58.81,61.27,310.24
01-16 17:00,302.84,64.33,63.48,294.59
01-16 18:00,242.91,63.94,60.88,269.59
01-16 19:00,276.55,54.07,75.14,199.54
01-16 20:00,149.16,55.99,79.09,106.73
01-16 21:00,178.17,60.01,75.97,71.92
01-16 22:00,107.09,62.83,78.49,75.34
01-16 23:00,124.15,56.18,76.5,58.67
01-17 00:00,138.23,52.53,70.97,56.3
01-17 01:00,157.61,55.0,71.09,53.93
01-17 02:00,140.26,59.96,70.71,59.51
01-17 03:00,121.66,58.86,72.43,62.75
01-17 04:00,131.39,51.88,73.03,68.88
01-17 05:00,126.73,56.74,71.19,75.38
01-17 06:00,159.81,58.95,59.83,74.77
01-17 07:00,205.09,89.84,69.03,75.68
01-17 08:00,185.17,98.84,75.46,74.53
01-17 09:00,204.02,80.19,73.95,79.3
01-17 10:00,200.05,71.01,75.78,82.29
01-17 11:00,198.01,76.67,80.53,88.94
01-17 12:00,198.67,75.98,78.37,58.22
01-17 13:00,234.46,83.35,74.76,74.95
01-17 14:00,275.92,122.0,74.89,93.59
01-17 15:00,344.18,110.3,75.65,138.32
01-17 16:00,340.2,87.69,74.33,132.4
01-17 17:00,239.52,90.11,72.53,119.71
01-17 18:00,186.26,94.84,65.01,128.56
01-17 19:00,180.07,96.95,67.14,118.23
01-17 20:00,189.7,85.25,69.12,111.92
01-17 21:00,175.61,88.56,71.85,102.36
01-17 22:00,157.41,90.15,77.03,98.22
01-17 23:00,151.54,93.38,71.73,98.58
01-18 00:00,159.76,94.35,69.22,89.45
01-18 01:00,135.28,95.17,68.69,82.73
01-18 02:00,181.7,99.41,66.03,69.78
01-18 03:00,153.46,103.08,70.55,66.46
01-18 04:00,203.83,104.91,68.94,85.67
01-18 05:00,250.49,133.41,72.85,151.51
01-18 06:00,292.41,159.04,78.13,286.61
01-18 07:00,286.87,155.38,95.77,230.29
01-18 08:00,283.72,142.69,93.78,156.86
01-18 09:00,266.93,143.49,89.32,138.53
01-18 10:00,255.7,145.02,84.81,99.69
01-18 11:00,248.75,140.27,90.89,73.52
01-18 12:00,243.23,126.11,91.82,63.94
01-18 13:00,218.11,131.36,114.51,65.82
01-18 14:00,230.56,106.42,147.13,85.16
01-18 15:00,247.93,102.63,180.85,113.51
01-18 16:00,249.8,101.56,193.16,190.25
01-18 17:00,229.6,101.75,227.52,120.78
01-18 18:00,214.55,94.86,147.72,112.73
01-18 19:00,203.35,90.42,122.35,95.67
01-18 20:00,193.08,87.61,109.78,68.75
01-18 21:00,175.74,85.67,83.67,63.79
01-18 22:00,201.11,76.67,69.06,64.72
01-18 23:00,162.01,60.51,49.9,57.6
01-19 00:00,164.54,47.52,40.56,56.64
01-19 01:00,156.15,50.87,40.59,50.38
01-19 02:00,152.11,48.52,41.62,47.72
01-19 03:00,157.33,49.52,45.68,69.05
01-19 04:00,145.16,54.86,62.91,97.78
01-19 05:00,186.05,69.96,76.43,106.16
01-19 06:00,208.91,86.63,94.81,123.77
01-19 07:00,227.96,97.34,115.36,179.41
01-19 08:00,211.4,97.08,81.77,191.71
01-19 09:00,196.81,93.25,89.45,163.62
01-19 10:00,196.97,101.19,93.63,122.84
01-19 11:00,210.67,98.49,97.93,101.12
01-19 12:00,227.35,93.4,86.27,129.68
01-19 13:00,240.9,94.66,89.92,161.71
01-19 14:00,263.66,98.71,93.25,185.27
01-19 15:00,268.23,102.27,95.92,195.61
01-19 16:00,268.97,83.78,103.05,191.93
01-19 17:00,250.93,82.65,109.87,190.32
01-19 18:00,194.5,91.41,96.28,180.9
01-19 19:00,179.93,93.51,93.57,146.66
01-19 20:00,187.93,91.36,106.81,135.81
01-19 21:00,141.8,92.11,94.64,133.43
01-19 22:00,167.38,82.62,89.73,127.24
01-19 23:00,159.81,72.81,83.86,118.1
01-20 00:00,170.57,68.67,81.18,113.17
01-20 01:00,177.43,71.91,85.04,115.1
01-20 02:00,176.75,70.24,98.63,114.22
01-20 03:00,165.23,68.9,98.6,110.0
01-20 04:00,157.07,79.4,102.58,111.82
01-20 05:00,134.66,87.89,105.37,112.45
01-20 06:00,118.43,109.42,109.95,116.79
01-20 07:00,124.94,117.87,121.2,104.77
01-20 08:00,118.96,121.34,117.03,135.0
01-20 09:00,113.5,116.53,119.99,135.13
01-20 10:00,118.08,102.46,122.04,139.26
01-20 11:00,117.82,92.1,126.83,142.18
01-20 12:00,120.24,81.69,137.43,152.81
01-20 13:00,122.04,80.15,123.1,177.59
01-20 14:00,122.5,98.86,137.38,200.32
01-20 15:00,128.68,127.0,145.0,218.01
01-20 16:00,124.55,131.64,182.01,202.78
01-20 17:00,128.06,134.72,193.07,171.42
01-20 18:00,125.26,117.62,147.83,144.83
01-20 19:00,112.31,104.98,139.62,121.44
01-20 20:00,131.6,78.33,127.42,109.59
01-20 21:00,130.42,48.97,128.38,92.06
01-20 22:00,132.11,50.96,127.64,91.2
01-20 23:00,124.07,48.13,125.73,62.03
01-21 00:00,138.93,47.41,124.09,42.23
01-21 01:00,143.42,48.01,115.67,42.07
01-21 02:00,141.52,49.83,117.37,42.89
01-21 03:00,143.51,61.9,111.83,41.41
01-21 04:00,139.35,82.69,115.88,40.46
01-21 05:00,110.27,92.17,115.25,39.25
01-21 06:00,102.23,88.62,119.97,40.29
01-21 07:00,99.02,98.13,131.28,35.6
01-21 08:00,113.0,133.6,114.42,38.25
01-21 09:00,121.08,109.71,127.81,47.06
01-21 10:00,102.69,105.51,121.36,43.71
01-21 11:00,87.15,109.68,110.55,40.74
01-21 12:00,87.77,97.74,112.62,41.13
01-21 13:00,110.49,106.74,109.06,54.21
01-21 14:00,112.09,108.64,114.13,45.19
01-21 15:00,109.63,111.39,106.89,42.8
01-21 16:00,97.93,117.1,110.39,43.72
01-21 17:00,97.98,115.33,110.93,56.45
01-21 18:00,99.4,117.81,110.08,62.08
01-21 19:00,101.44,110.44,119.16,44.83
01-21 20:00,106.09,149.64,123.38,36.94
01-21 21:00,111.13,116.39,126.07,32.47
01-21 22:00,120.62,119.01,126.38,30.58
01-21 23:00,126.01,126.22,119.01,40.22
01-22 00:00,141.86,136.61,112.42,66.73
01-22 01:00,137.13,135.3,102.99,74.28
01-22 02:00,132.67,159.46,98.33,73.56
01-22 03:00,133.26,175.86,101.47,67.84
01-22 04:00,118.92,179.58,95.77,34.46
01-22 05:00,142.56,251.92,97.02,33.35
01-22 06:00,117.03,155.33,95.92,46.78
01-22 07:00,105.35,142.77,94.52,49.3
01-22 08:00,96.74,138.18,108.57,46.97
01-22 09:00,105.61,151.26,127.01,46.28
01-22 10:00,101.59,155.42,137.4,47.94
01-22 11:00,114.54,146.9,168.33,46.37
01-22 12:00,112.71,142.0,134.62,40.96
01-22 13:00,121.78,136.45,134.07,41.91
01-22 14:00,109.58,147.43,136.88,42.29
01-22 15:00,100.51,151.95,148.42,49.56
01-22 16:00,90.63,151.1,138.39,52.47
01-22 17:00,94.22,145.2,130.63,52.78
01-22 18:00,93.16,146.79,134.74,50.65
01-22 19:00,97.56,123.24,140.76,47.47
01-22 20:00,99.95,127.35,138.12,48.29
01-22 21:00,99.38,118.79,140.34,49.76
01-22 22:00,101.53,117.77,136.02,33.73
01-22 23:00,78.45,118.93,142.46,29.72
01-23 00:00,66.67,122.71,145.47,31.1
01-23 01:00,70.22,126.53,147.48,30.89
01-23 02:00,78.13,133.74,155.02,32.11
01-23 03:00,90.81,126.0,152.34,36.58
01-23 04:00,88.25,129.43,152.84,49.09
01-23 05:00,91.32,135.62,171.48,54.55
01-23 06:00,109.62,147.86,151.53,50.68
01-23 07:00,137.53,151.76,155.31,50.03
01-23 08:00,131.19,151.78,141.26,46.64
01-23 09:00,113.89,155.33,139.01,48.09
01-23 10:00,109.72,161.64,129.58,46.86
01-23 11:00,106.46,142.32,124.93,47.09
01-23 12:00,104.78,142.73,154.61,43.58
01-23 13:00,102.87,154.02,162.41,44.22
01-23 14:00,116.4,147.65,233.59,45.66
01-23 15:00,118.17,155.81,153.23,54.23
01-23 16:00,151.42,147.25,180.88,57.78
01-23 17:00,130.76,137.84,184.13,61.63
01-23 18:00,145.87,124.47,137.55,61.06
01-23 19:00,128.16,117.8,137.52,57.97
01-23 20:00,110.21,106.76,123.43,50.41
01-23 21:00,102.59,102.55,125.24,52.01
01-23 22:00,98.92,107.23,117.07,72.75
01-23 23:00,93.67,92.55,117.12,71.62
01-24 00:00,93.15,89.65,115.83,68.3
01-24 01:00,97.43,91.62,106.19,67.0
01-24 02:00,93.79,93.71,106.41,68.58
01-24 03:00,106.81,92.84,112.69,68.91
01-24 04:00,103.61,88.98,117.47,69.19
01-24 05:00,92.98,88.45,109.54,62.5
01-24 06:00,103.85,94.58,110.39,38.59
01-24 07:00,106.62,98.02,107.88,40.54
01-24 08:00,110.64,94.65,106.89,46.7
01-24 09:00,108.18,90.29,131.03,46.71
01-24 10:00,157.22,88.6,117.8,60.13
01-24 11:00,143.36,91.51,112.69,69.63
01-24 12:00,142.71,97.16,114.9,85.52
01-24 13:00,121.96,100.47,111.38,86.84
01-24 14:00,157.13,99.03,115.06,78.7
01-24 15:00,287.12,97.0,127.16,56.94
01-24 16:00,264.62,97.34,120.11,47.5
01-24 17:00,165.46,94.97,106.72,43.46
01-24 18:00,124.05,96.21,102.11,37.04
01-24 19:00,126.32,93.11,98.77,39.48
01-24 20:00,102.86,99.58,99.8,40.4
01-24 21:00,109.73,96.57,102.04,35.76
01-24 22:00,98.15,90.93,94.53,33.04
01-24 23:00,95.95,89.19,92.38,37.45
01-25 00:00,98.65,92.46,88.6,45.81
01-25 01:00,99.77,95.95,87.31,57.69
01-25 02:00,101.16,102.0,84.08,57.41
01-25 03:00,97.88,94.19,84.77,56.11
01-25 04:00,165.76,98.73,82.41,59.19
